actor,movie,movie_year,role_sentence,role_size
Drew Barrymore,Blended,2014,"In Blended, Drew Barrymore had a large role.",large
Drew Barrymore,Miss You Already,2015,"In Miss You Already, Drew Barrymore had a large role.",large
Drew Barrymore,The Stand In,2020,"In The Stand In, Drew Barrymore had a large role.",large
Drew Barrymore,A Castle for Christmas,2021,"In A Castle for Christmas, Drew Barrymore had a large role.",large
Drew Barrymore,Jackpot,2023,"In Jackpot, Drew Barrymore had a large role.",large
Drew Barrymore,Child Star,2024,"In Child Star, Drew Barrymore had a large role.",large
Drew Barrymore,Smile 2,2024,"In Smile 2, Drew Barrymore had a large role.",large
Drew Barrymore,Influenced,2026,"In Influenced, Drew Barrymore had a large role.",large
Dwayne Johnson,Longshot,2001,"In Longshot, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Mummy Returns,2001,"In The Mummy Returns, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Scorpion King,2002,"In The Scorpion King, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Rundown,2003,"In The Rundown, Dwayne Johnson had a large role.",large
Dwayne Johnson,Walking Tall,2004,"In Walking Tall, Dwayne Johnson had a large role.",large
Dwayne Johnson,Be Cool,2005,"In Be Cool, Dwayne Johnson had a large role.",large
Dwayne Johnson,Doom,2005,"In Doom, Dwayne Johnson had a large role.",large
Dwayne Johnson,Gridiron Gang,2006,"In Gridiron Gang, Dwayne Johnson had a large role.",large
Dwayne Johnson,Southland Tales,2006,"In Southland Tales, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Game Plan,2007,"In The Game Plan, Dwayne Johnson had a large role.",large
Dwayne Johnson,Get Smart,2008,"In Get Smart, Dwayne Johnson had a large role.",large
Dwayne Johnson,Planet 51,2009,"In Planet 51, Dwayne Johnson had a large role.",large
Dwayne Johnson,Race to Witch Mountain,2009,"In Race to Witch Mountain, Dwayne Johnson had a large role.",large
Dwayne Johnson,Faster,2010,"In Faster, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Other Guys,2010,"In The Other Guys, Dwayne Johnson had a large role.",large
Dwayne Johnson,Tooth Fairy,2010,"In Tooth Fairy, Dwayne Johnson had a large role.",large
Dwayne Johnson,Why Did I Get Married Too?,2010,"In Why Did I Get Married Too?, Dwayne Johnson had a large role.",large
Dwayne Johnson,You Again,2010,"In You Again, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fast Five,2011,"In Fast Five, Dwayne Johnson had a large role.",large
Dwayne Johnson,Journey 2: The Mysterious Island,2012,"In Journey 2: The Mysterious Island, Dwayne Johnson had a large role.",large
Dwayne Johnson,Empire State,2013,"In Empire State, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fast & Furious 6,2013,"In Fast & Furious 6, Dwayne Johnson had a large role.",large
Dwayne Johnson,G.I. Joe: Retaliation,2013,"In G.I. Joe: Retaliation, Dwayne Johnson had a large role.",large
Dwayne Johnson,Pain & Gain,2013,"In Pain & Gain, Dwayne Johnson had a large role.",large
Dwayne Johnson,Snitch,2013,"In Snitch, Dwayne Johnson had a large role.",large
Dwayne Johnson,Hercules,2014,"In Hercules, Dwayne Johnson had a large role.",large
Dwayne Johnson,Lennon or McCartney,2014,"In Lennon or McCartney, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fast & Furious: Supercharged,2015,"In Fast & Furious: Supercharged, Dwayne Johnson had a large role.",large
Dwayne Johnson,Furious 7,2015,"In Furious 7, Dwayne Johnson had a large role.",large
Dwayne Johnson,Jem and the Holograms,2015,"In Jem and the Holograms, Dwayne Johnson had a large role.",large
Dwayne Johnson,San Andreas,2015,"In San Andreas, Dwayne Johnson had a large role.",large
Dwayne Johnson,Central Intelligence,2016,"In Central Intelligence, Dwayne Johnson had a large role.",large
Dwayne Johnson,Moana,2016,"In Moana, Dwayne Johnson had a large role.",large
Dwayne Johnson,Baywatch,2017,"In Baywatch, Dwayne Johnson had a large role.",large
Dwayne Johnson,Jumanji: Welcome to the Jungle,2017,"In Jumanji: Welcome to the Jungle, Dwayne Johnson had a large role.",large
Dwayne Johnson,Rock and a Hard Place,2017,"In Rock and a Hard Place, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Fate of the Furious,2017,"In The Fate of the Furious, Dwayne Johnson had a large role.",large
Dwayne Johnson,Jumanji: The Next Level,2018,"In Jumanji: The Next Level, Dwayne Johnson had a large role.",large
Dwayne Johnson,Rampage,2018,"In Rampage, Dwayne Johnson had a large role.",large
Dwayne Johnson,Skyscraper,2018,"In Skyscraper, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fast & Furious Presents: Hobbs & Shaw,2019,"In Fast & Furious Presents: Hobbs & Shaw, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fighting with My Family,2019,"In Fighting with My Family, Dwayne Johnson had a large role.",large
Dwayne Johnson,Shazam!,2019,"In Shazam!, Dwayne Johnson had a large role.",large
Dwayne Johnson,Free Guy,2021,"In Free Guy, Dwayne Johnson had a large role.",large
Dwayne Johnson,Jungle Cruise,2021,"In Jungle Cruise, Dwayne Johnson had a large role.",large
Dwayne Johnson,Red Notice,2021,"In Red Notice, Dwayne Johnson had a large role.",large
Dwayne Johnson,Black Adam,2022,"In Black Adam, Dwayne Johnson had a large role.",large
Dwayne Johnson,DC League of Super-Pets,2022,"In DC League of Super-Pets, Dwayne Johnson had a large role.",large
Dwayne Johnson,Fast X,2023,"In Fast X, Dwayne Johnson had a large role.",large
Dwayne Johnson,Once Upon a Studio,2023,"In Once Upon a Studio, Dwayne Johnson had a large role.",large
Dwayne Johnson,Moana 2,2024,"In Moana 2, Dwayne Johnson had a large role.",large
Dwayne Johnson,Red One,2024,"In Red One, Dwayne Johnson had a large role.",large
Dwayne Johnson,The Smashing Machine,2025,"In The Smashing Machine, Dwayne Johnson had a large role.",large
Dwayne Johnson,Zootopia 2,2025,"In Zootopia 2, Dwayne Johnson had a large role.",large
Eddie Murphy,48 Hrs.,1982,"In 48 Hrs., Eddie Murphy had a large role.",large
Eddie Murphy,Trading Places,1983,"In Trading Places, Eddie Murphy had a large role.",large
Eddie Murphy,Best Defense,1984,"In Best Defense, Eddie Murphy had a large role.",large
Eddie Murphy,Beverly Hills Cop,1984,"In Beverly Hills Cop, Eddie Murphy had a large role.",large
Eddie Murphy,New Jersey Vice,1986,"In New Jersey Vice, Eddie Murphy had a large role.",large
Eddie Murphy,The Golden Child,1986,"In The Golden Child, Eddie Murphy had a large role.",large
Eddie Murphy,Beverly Hills Cop II,1987,"In Beverly Hills Cop II, Eddie Murphy had a large role.",large
Eddie Murphy,Eddie Murphy Raw,1987,"In Eddie Murphy Raw, Eddie Murphy had a large role.",large
Eddie Murphy,Coming to America,1988,"In Coming to America, Eddie Murphy had a large role.",large
Eddie Murphy,Harlem Nights,1989,"In Harlem Nights, Eddie Murphy had a large role.",large
Eddie Murphy,Another 48 Hrs.,1990,"In Another 48 Hrs., Eddie Murphy had a large role.",large
Eddie Murphy,Boomerang,1992,"In Boomerang, Eddie Murphy had a large role.",large
Eddie Murphy,The Distinguished Gentleman,1992,"In The Distinguished Gentleman, Eddie Murphy had a large role.",large
Eddie Murphy,Beverly Hills Cop III,1994,"In Beverly Hills Cop III, Eddie Murphy had a large role.",large
Eddie Murphy,Vampire in Brooklyn,1995,"In Vampire in Brooklyn, Eddie Murphy had a large role.",large
Eddie Murphy,Metro,1997,"In Metro, Eddie Murphy had a large role.",large
Eddie Murphy,Dr. Dolittle,1998,"In Dr. Dolittle, Eddie Murphy had a large role.",large
Eddie Murphy,Holy Man,1998,"In Holy Man, Eddie Murphy had a large role.",large
Eddie Murphy,Mulan,1998,"In Mulan, Eddie Murphy had a large role.",large
Eddie Murphy,Bowfinger,1999,"In Bowfinger, Eddie Murphy had a large role.",large
Eddie Murphy,Life,1999,"In Life, Eddie Murphy had a large role.",large
Eddie Murphy,Nutty Professor II: The Klumps,2000,"In Nutty Professor II: The Klumps, Eddie Murphy had a large role.",large
Eddie Murphy,Dr. Dolittle 2,2001,"In Dr. Dolittle 2, Eddie Murphy had a large role.",large
Eddie Murphy,Shrek,2001,"In Shrek, Eddie Murphy had a large role.",large
Eddie Murphy,I Spy,2002,"In I Spy, Eddie Murphy had a large role.",large
Eddie Murphy,Showtime,2002,"In Showtime, Eddie Murphy had a large role.",large
Eddie Murphy,The Adventures of Pluto Nash,2002,"In The Adventures of Pluto Nash, Eddie Murphy had a large role.",large
Eddie Murphy,Daddy Day Care,2003,"In Daddy Day Care, Eddie Murphy had a large role.",large
Eddie Murphy,Shrek 2,2004,"In Shrek 2, Eddie Murphy had a large role.",large
Eddie Murphy,Dreamgirls,2006,"In Dreamgirls, Eddie Murphy had a large role.",large
Eddie Murphy,Norbit,2007,"In Norbit, Eddie Murphy had a large role.",large
Eddie Murphy,Shrek the Third,2007,"In Shrek the Third, Eddie Murphy had a large role.",large
Eddie Murphy,Meet Dave,2008,"In Meet Dave, Eddie Murphy had a large role.",large
Eddie Murphy,Imagine That,2009,"In Imagine That, Eddie Murphy had a large role.",large
Eddie Murphy,Why We Laugh: Black Comedians on Black Comedy,2009,"In Why We Laugh: Black Comedians on Black Comedy, Eddie Murphy had a large role.",large
Eddie Murphy,Shrek Forever After,2010,"In Shrek Forever After, Eddie Murphy had a large role.",large
Eddie Murphy,Tower Heist,2011,"In Tower Heist, Eddie Murphy had a large role.",large
Eddie Murphy,Mr. Church,2016,"In Mr. Church, Eddie Murphy had a large role.",large
Eddie Murphy,Dolemite Is My Name,2019,"In Dolemite Is My Name, Eddie Murphy had a large role.",large
Eddie Murphy,Coming 2 America,2021,"In Coming 2 America, Eddie Murphy had a large role.",large
Eddie Murphy,Candy Cane Lane,2023,"In Candy Cane Lane, Eddie Murphy had a large role.",large
Eddie Murphy,You People,2023,"In You People, Eddie Murphy had a large role.",large
Eddie Murphy,Beverly Hills Cop: Axel F,2024,"In Beverly Hills Cop: Axel F, Eddie Murphy had a large role.",large
Eddie Murphy,Being Eddie,2025,"In Being Eddie, Eddie Murphy had a large role.",large
Eddie Murphy,The Pickup,2025,"In The Pickup, Eddie Murphy had a large role.",large
Eddie Murphy,In production,2027,"In In production, Eddie Murphy had a large role.",large
Emily Blunt,My Summer of Love,2004,"In My Summer of Love, Emily Blunt had a large role.",large
Emily Blunt,Irresistible,2006,"In Irresistible, Emily Blunt had a large role.",large
Emily Blunt,The Devil Wears Prada (film),2006,"In The Devil Wears Prada (film), Emily Blunt had a large role.",large
Emily Blunt,Dan in Real Life,2007,"In Dan in Real Life, Emily Blunt had a large role.",large
Emily Blunt,The Jane Austen Book Club (film),2007,"In The Jane Austen Book Club (film), Emily Blunt had a large role.",large
Emily Blunt,Wind Chill,2007,"In Wind Chill, Emily Blunt had a large role.",large
Emily Blunt,The Great Buck Howard,2008,"In The Great Buck Howard, Emily Blunt had a large role.",large
Emily Blunt,The Young Victoria,2009,"In The Young Victoria, Emily Blunt had a large role.",large
Emily Blunt,Sunshine Cleaning,2010,"In Sunshine Cleaning, Emily Blunt had a large role.",large
Emily Blunt,The Wolfman (2010 film),2010,"In The Wolfman (2010 film), Emily Blunt had a large role.",large
Emily Blunt,Wild Target,2010,"In Wild Target, Emily Blunt had a large role.",large
Emily Blunt,Gnomeo & Juliet,2011,"In Gnomeo & Juliet, Emily Blunt had a large role.",large
Emily Blunt,Salmon Fishing in the Yemen,2011,"In Salmon Fishing in the Yemen, Emily Blunt had a large role.",large
Emily Blunt,The Adjustment Bureau,2011,"In The Adjustment Bureau, Emily Blunt had a large role.",large
Emily Blunt,Your Sister's Sister,2011,"In Your Sister's Sister, Emily Blunt had a large role.",large
Emily Blunt,Arthur Newman,2012,"In Arthur Newman, Emily Blunt had a large role.",large
Emily Blunt,Looper,2012,"In Looper, Emily Blunt had a large role.",large
Emily Blunt,The Five-Year Engagement,2012,"In The Five-Year Engagement, Emily Blunt had a large role.",large
Emily Blunt,Edge of Tomorrow,2014,"In Edge of Tomorrow, Emily Blunt had a large role.",large
Emily Blunt,Into the Woods,2014,"In Into the Woods, Emily Blunt had a large role.",large
Emily Blunt,The Wind Rises,2014,"In The Wind Rises, Emily Blunt had a large role.",large
Emily Blunt,Sicario,2015,"In Sicario, Emily Blunt had a large role.",large
Emily Blunt,The Girl on the Train,2016,"In The Girl on the Train, Emily Blunt had a large role.",large
Emily Blunt,The Huntsman: Winter's War,2016,"In The Huntsman: Winter's War, Emily Blunt had a large role.",large
Emily Blunt,Animal Crackers,2017,"In Animal Crackers, Emily Blunt had a large role.",large
Emily Blunt,My Little Pony: The Movie,2017,"In My Little Pony: The Movie, Emily Blunt had a large role.",large
Emily Blunt,A Quiet Place,2018,"In A Quiet Place, Emily Blunt had a large role.",large
Emily Blunt,Charlie Wilson's War,2019,"In Charlie Wilson's War, Emily Blunt had a large role.",large
Emily Blunt,Curiosity,2019,"In Curiosity, Emily Blunt had a large role.",large
Emily Blunt,Gulliver's Travels,2019,"In Gulliver's Travels, Emily Blunt had a large role.",large
Emily Blunt,Mary Poppins Returns,2019,"In Mary Poppins Returns, Emily Blunt had a large role.",large
Emily Blunt,Sherlock Gnomes,2019,"In Sherlock Gnomes, Emily Blunt had a large role.",large
Emily Blunt,The Muppets (2011 film),2019,"In The Muppets (2011 film), Emily Blunt had a large role.",large
Emily Blunt,A Quiet Place Part II,2020,"In A Quiet Place Part II, Emily Blunt had a large role.",large
Emily Blunt,Wild Mountain Thyme,2020,"In Wild Mountain Thyme, Emily Blunt had a large role.",large
Emily Blunt,Jungle Cruise,2021,"In Jungle Cruise, Emily Blunt had a large role.",large
Emily Blunt,IF,2023,"In IF, Emily Blunt had a large role.",large
Emily Blunt,Oppenheimer,2023,"In Oppenheimer, Emily Blunt had a large role.",large
Emily Blunt,Pain Hustlers,2023,"In Pain Hustlers, Emily Blunt had a large role.",large
Emily Blunt,The Fall Guy,2024,"In The Fall Guy, Emily Blunt had a large role.",large
Emily Blunt,The Smashing Machine,2025,"In The Smashing Machine, Emily Blunt had a large role.",large
Emily Blunt,Walk the Blue Fields,2025,"In Walk the Blue Fields, Emily Blunt had a large role.",large
Emily Blunt,Disclosure Day,2026,"In Disclosure Day, Emily Blunt had a large role.",large
Emily Blunt,The Devil Wears Prada 2,2026,"In The Devil Wears Prada 2, Emily Blunt had a large role.",large
Emma Stone,Superbad,2007,"In Superbad, Emma Stone had a large role.",large
Emma Stone,Ghosts of Girlfriends Past,2009,"In Ghosts of Girlfriends Past, Emma Stone had a large role.",large
Emma Stone,Marmaduke,2010,"In Marmaduke, Emma Stone had a large role.",large
Emma Stone,Movie 43,2010,"In Movie 43, Emma Stone had a large role.",large
Emma Stone,"Crazy, Stupid, Love",2011,"In ""Crazy, Stupid, Love"", Emma Stone had a large role.",large
Emma Stone,Friends with Benefits,2011,"In Friends with Benefits, Emma Stone had a large role.",large
Emma Stone,Gangster Squad,2013,"In Gangster Squad, Emma Stone had a large role.",large
Emma Stone,The Croods,2013,"In The Croods, Emma Stone had a large role.",large
Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),2014,"In Birdman or (The Unexpected Virtue of Ignorance), Emma Stone had a large role.",large
Emma Stone,Magic in the Moonlight,2014,"In Magic in the Moonlight, Emma Stone had a large role.",large
Emma Stone,The Amazing Spider-Man 2,2014,"In The Amazing Spider-Man 2, Emma Stone had a large role.",large
Emma Stone,The Interview,2014,"In The Interview, Emma Stone had a large role.",large
Emma Stone,Aloha,2015,"In Aloha, Emma Stone had a large role.",large
Emma Stone,Easy A,2016,"In Easy A, Emma Stone had a large role.",large
Emma Stone,Irrational Man,2016,"In Irrational Man, Emma Stone had a large role.",large
Emma Stone,La La Land,2016,"In La La Land, Emma Stone had a large role.",large
Emma Stone,Paper Man,2016,"In Paper Man, Emma Stone had a large role.",large
Emma Stone,Popstar: Never Stop Never Stopping,2016,"In Popstar: Never Stop Never Stopping, Emma Stone had a large role.",large
Emma Stone,The House Bunny,2016,"In The House Bunny, Emma Stone had a large role.",large
Emma Stone,Zombieland,2016,"In Zombieland, Emma Stone had a large role.",large
Emma Stone,Battle of the Sexes,2017,"In Battle of the Sexes, Emma Stone had a large role.",large
Emma Stone,The Favourite]],2018,"In The Favourite]], Emma Stone had a large role.",large
Emma Stone,Zombieland: Double Tap,2019,"In Zombieland: Double Tap, Emma Stone had a large role.",large
Emma Stone,The Croods: A New Age,2020,"In The Croods: A New Age, Emma Stone had a large role.",large
Emma Stone,Cruella,2021,"In Cruella, Emma Stone had a large role.",large
Emma Stone,Bleat,2022,"In Bleat, Emma Stone had a large role.",large
Emma Stone,When You Finish Saving the World,2022,"In When You Finish Saving the World, Emma Stone had a large role.",large
Emma Stone,Poor Things,2023,"In Poor Things, Emma Stone had a large role.",large
Emma Stone,Problemista,2023,"In Problemista, Emma Stone had a large role.",large
Emma Stone,A Real Pain,2024,"In A Real Pain, Emma Stone had a large role.",large
Emma Stone,I Saw the TV Glow,2024,"In I Saw the TV Glow, Emma Stone had a large role.",large
Emma Stone,Kinds of Kindness,2024,"In Kinds of Kindness, Emma Stone had a large role.",large
Emma Stone,Bugonia,2025,"In Bugonia, Emma Stone had a large role.",large
Emma Stone,Eddington,2025,"In Eddington, Emma Stone had a large role.",large
Emma Watson,Harry Potter and the Philosopher's Stone,2001,"In Harry Potter and the Philosopher's Stone, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Chamber of Secrets,2002,"In Harry Potter and the Chamber of Secrets, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Prisoner of Azkaban,2004,"In Harry Potter and the Prisoner of Azkaban, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Goblet of Fire,2005,"In Harry Potter and the Goblet of Fire, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Order of the Phoenix,2007,"In Harry Potter and the Order of the Phoenix, Emma Watson had a large role.",large
Emma Watson,The Tale of Despereaux,2008,"In The Tale of Despereaux, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Half-Blood Prince,2009,"In Harry Potter and the Half-Blood Prince, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Deathly Hallows – Part 1,2010,"In Harry Potter and the Deathly Hallows – Part 1, Emma Watson had a large role.",large
Emma Watson,Harry Potter and the Deathly Hallows – Part 2,2011,"In Harry Potter and the Deathly Hallows – Part 2, Emma Watson had a large role.",large
Emma Watson,My Week with Marilyn,2011,"In My Week with Marilyn, Emma Watson had a large role.",large
Emma Watson,The Perks of Being a Wallflower,2012,"In The Perks of Being a Wallflower, Emma Watson had a large role.",large
Emma Watson,The Bling Ring,2013,"In The Bling Ring, Emma Watson had a large role.",large
Emma Watson,This Is the End,2013,"In This Is the End, Emma Watson had a large role.",large
Emma Watson,Noah,2014,"In Noah, Emma Watson had a large role.",large
Emma Watson,Colonia,2015,"In Colonia, Emma Watson had a large role.",large
Emma Watson,Regression,2015,"In Regression, Emma Watson had a large role.",large
Emma Watson,Beauty and the Beast,2017,"In Beauty and the Beast, Emma Watson had a large role.",large
Emma Watson,The Circle,2017,"In The Circle, Emma Watson had a large role.",large
Emma Watson,Little Women,2019,"In Little Women, Emma Watson had a large role.",large
Florence Pugh,The Falling,2014,"In The Falling, Florence Pugh had a large role.",large
Florence Pugh,Paradise Lost?,2015,"In Paradise Lost?, Florence Pugh had a large role.",large
Florence Pugh,Lady Macbeth,2016,"In Lady Macbeth, Florence Pugh had a large role.",large
Florence Pugh,Leading Lady Parts,2018,"In Leading Lady Parts, Florence Pugh had a large role.",large
Florence Pugh,Malevolent,2018,"In Malevolent, Florence Pugh had a large role.",large
Florence Pugh,Outlaw King,2018,"In Outlaw King, Florence Pugh had a large role.",large
Florence Pugh,The Commuter,2018,"In The Commuter, Florence Pugh had a large role.",large
Florence Pugh,Fighting with My Family,2019,"In Fighting with My Family, Florence Pugh had a large role.",large
Florence Pugh,In the Time It Takes to Get There,2019,"In In the Time It Takes to Get There, Florence Pugh had a large role.",large
Florence Pugh,Little Women,2019,"In Little Women, Florence Pugh had a large role.",large
Florence Pugh,Midsommar,2019,"In Midsommar, Florence Pugh had a large role.",large
Florence Pugh,Father of the Bride Part 3,2020,"In Father of the Bride Part 3, Florence Pugh had a large role.",large
Florence Pugh,Black Widow,2021,"In Black Widow, Florence Pugh had a large role.",large
Florence Pugh,Puss in Boots: The Last Wish,2022,"In Puss in Boots: The Last Wish, Florence Pugh had a large role.",large
Florence Pugh,The Wonder,2022,"In The Wonder, Florence Pugh had a large role.",large
Florence Pugh,A Good Person,2023,"In A Good Person, Florence Pugh had a large role.",large
Florence Pugh,Oppenheimer,2023,"In Oppenheimer, Florence Pugh had a large role.",large
Florence Pugh,The Boy and the Heron,2023,"In The Boy and the Heron, Florence Pugh had a large role.",large
Florence Pugh,Dune: Part Two,2024,"In Dune: Part Two, Florence Pugh had a large role.",large
Florence Pugh,We Live in Time,2024,"In We Live in Time, Florence Pugh had a large role.",large
Florence Pugh,Thunderbolts*,2025,"In Thunderbolts*, Florence Pugh had a large role.",large
Gal Gadot,Fast & Furious,2009,"In Fast & Furious, Gal Gadot had a large role.",large
Gal Gadot,Date Night,2010,"In Date Night, Gal Gadot had a large role.",large
Gal Gadot,Knight and Day,2010,"In Knight and Day, Gal Gadot had a large role.",large
Gal Gadot,Fast Five,2011,"In Fast Five, Gal Gadot had a large role.",large
Gal Gadot,Fast & Furious 6,2013,"In Fast & Furious 6, Gal Gadot had a large role.",large
Gal Gadot,Criminal,2014,"In Criminal, Gal Gadot had a large role.",large
Gal Gadot,Kicking Out Shoshana,2014,"In Kicking Out Shoshana, Gal Gadot had a large role.",large
Gal Gadot,Furious 7,2015,"In Furious 7, Gal Gadot had a large role.",large
Gal Gadot,Keeping Up with the Joneses,2015,"In Keeping Up with the Joneses, Gal Gadot had a large role.",large
Gal Gadot,Batman v Superman: Dawn of Justice,2016,"In Batman v Superman: Dawn of Justice, Gal Gadot had a large role.",large
Gal Gadot,Triple 9,2016,"In Triple 9, Gal Gadot had a large role.",large
Gal Gadot,Justice League,2017,"In Justice League, Gal Gadot had a large role.",large
Gal Gadot,Wonder Woman,2017,"In Wonder Woman, Gal Gadot had a large role.",large
Gal Gadot,Ralph Breaks the Internet,2018,"In Ralph Breaks the Internet, Gal Gadot had a large role.",large
Gal Gadot,Red Notice,2018,"In Red Notice, Gal Gadot had a large role.",large
Gal Gadot,Between Two Ferns: The Movie,2019,"In Between Two Ferns: The Movie, Gal Gadot had a large role.",large
Gal Gadot,Wonder Woman 1984,2020,"In Wonder Woman 1984, Gal Gadot had a large role.",large
Gal Gadot,Death on the Nile,2022,"In Death on the Nile, Gal Gadot had a large role.",large
Gal Gadot,Fast X,2023,"In Fast X, Gal Gadot had a large role.",large
Gal Gadot,Heart of Stone,2023,"In Heart of Stone, Gal Gadot had a large role.",large
Gal Gadot,Shazam! Fury of the Gods,2023,"In Shazam! Fury of the Gods, Gal Gadot had a large role.",large
Gal Gadot,The Flash,2023,"In The Flash, Gal Gadot had a small role.",small
Gal Gadot,In the Hand of Dante,2025,"In In the Hand of Dante, Gal Gadot had a large role.",large
Gal Gadot,Snow White,2025,"In Snow White, Gal Gadot had a large role.",large
George Clooney,Grizzly II: Revenge,1983,"In Grizzly II: Revenge, George Clooney had a large role.",large
George Clooney,Return to Horror High,1987,"In Return to Horror High, George Clooney had a large role.",large
George Clooney,Return of the Killer Tomatoes,1988,"In Return of the Killer Tomatoes, George Clooney had a large role.",large
George Clooney,Red Surf,1989,"In Red Surf, George Clooney had a large role.",large
George Clooney,Unbecoming Age,1992,"In Unbecoming Age, George Clooney had a large role.",large
George Clooney,The Harvest,1993,"In The Harvest, George Clooney had a large role.",large
George Clooney,From Dusk till Dawn,1996,"In From Dusk till Dawn, George Clooney had a large role.",large
George Clooney,One Fine Day,1996,"In One Fine Day, George Clooney had a large role.",large
George Clooney,Batman & Robin,1997,"In Batman & Robin, George Clooney had a large role.",large
George Clooney,The Peacemaker,1997,"In The Peacemaker, George Clooney had a large role.",large
George Clooney,Out of Sight,1998,"In Out of Sight, George Clooney had a large role.",large
George Clooney,The Thin Red Line,1998,"In The Thin Red Line, George Clooney had a small role.",small
George Clooney,Waiting for Woody,1998,"In Waiting for Woody, George Clooney had a large role.",large
George Clooney,"South Park: Bigger, Longer & Uncut",1999,"In ""South Park: Bigger, Longer & Uncut"", George Clooney had a large role.",large
George Clooney,The Book That Wrote Itself,1999,"In The Book That Wrote Itself, George Clooney had a large role.",large
George Clooney,Three Kings,1999,"In Three Kings, George Clooney had a large role.",large
George Clooney,"O Brother, Where Art Thou?",2000,"In ""O Brother, Where Art Thou?"", George Clooney had a large role.",large
George Clooney,The Perfect Storm,2000,"In The Perfect Storm, George Clooney had a large role.",large
George Clooney,Spy Kids,2001,"In Spy Kids, George Clooney had a small role.",small
George Clooney,Confessions of a Dangerous Mind,2002,"In Confessions of a Dangerous Mind, George Clooney had a large role.",large
George Clooney,Solaris,2002,"In Solaris, George Clooney had a large role.",large
George Clooney,Welcome to Collinwood,2002,"In Welcome to Collinwood, George Clooney had a large role.",large
George Clooney,Intolerable Cruelty,2003,"In Intolerable Cruelty, George Clooney had a large role.",large
George Clooney,Spy Kids 3-D: Game Over,2003,"In Spy Kids 3-D: Game Over, George Clooney had a large role.",large
George Clooney,"Good Night, and Good Luck",2005,"In ""Good Night, and Good Luck"", George Clooney had a large role.",large
George Clooney,Syriana,2005,"In Syriana, George Clooney had a large role.",large
George Clooney,The Good German,2006,"In The Good German, George Clooney had a large role.",large
George Clooney,Darfur Now,2007,"In Darfur Now, George Clooney had a large role.",large
George Clooney,Michael Clayton,2007,"In Michael Clayton, George Clooney had a large role.",large
George Clooney,Sand and Sorrow,2007,"In Sand and Sorrow, George Clooney had a large role.",large
George Clooney,Burn After Reading,2008,"In Burn After Reading, George Clooney had a large role.",large
George Clooney,Leatherheads,2008,"In Leatherheads, George Clooney had a large role.",large
George Clooney,Fantastic Mr. Fox,2009,"In Fantastic Mr. Fox, George Clooney had a large role.",large
George Clooney,The Men Who Stare at Goats,2009,"In The Men Who Stare at Goats, George Clooney had a large role.",large
George Clooney,Up in the Air,2009,"In Up in the Air, George Clooney had a large role.",large
George Clooney,The American,2010,"In The American, George Clooney had a large role.",large
George Clooney,The Descendants,2011,"In The Descendants, George Clooney had a large role.",large
George Clooney,The Ides of March,2011,"In The Ides of March, George Clooney had a large role.",large
George Clooney,Gravity,2013,"In Gravity, George Clooney had a large role.",large
George Clooney,The Monuments Men,2014,"In The Monuments Men, George Clooney had a large role.",large
George Clooney,Tomorrowland,2015,"In Tomorrowland, George Clooney had a large role.",large
George Clooney,"Hail, Caesar!",2016,"In ""Hail, Caesar!"", George Clooney had a large role.",large
George Clooney,Money Monster,2016,"In Money Monster, George Clooney had a large role.",large
George Clooney,Suburbicon,2017,"In Suburbicon, George Clooney had a large role.",large
George Clooney,The Midnight Sky,2020,"In The Midnight Sky, George Clooney had a large role.",large
George Clooney,The Tender Bar,2021,"In The Tender Bar, George Clooney had a large role.",large
George Clooney,Ticket to Paradise,2022,"In Ticket to Paradise, George Clooney had a large role.",large
George Clooney,Producer only,2023,"In Producer only, George Clooney had a small role.",small
George Clooney,The Boys in the Boat,2023,"In The Boys in the Boat, George Clooney had a large role.",large
George Clooney,The Flash,2023,"In The Flash, George Clooney had a small role.",small
George Clooney,IF,2024,"In IF, George Clooney had a large role.",large
George Clooney,Wolfs,2024,"In Wolfs, George Clooney had a large role.",large
George Clooney,Jay Kelly,2025,"In Jay Kelly, George Clooney had a large role.",large
George Clooney,Nespresso: The Detective,2025,"In Nespresso: The Detective, George Clooney had a large role.",large
Glenn Close,The World According to Garp,1982,"In The World According to Garp, Glenn Close had a large role.",large
Glenn Close,The Big Chill,1983,"In The Big Chill, Glenn Close had a large role.",large
